Date,Make,Year,Model,Transmission,Price
2025-11-25,toyota,2008,Vitz,Automatic,7350000
2025-11-25,toyota,2008,Vitz,Automatic,16500000
2025-11-25,toyota,2011,Premio,Automatic,0
2025-11-25,toyota,2023,Roomy,Automatic,0
2025-11-25,toyota,2023,Roomy,Automatic,0
2025-11-25,toyota,2023,Roomy,Automatic,0
2025-11-25,toyota,2017,Axio,Automatic,8550000
2025-11-25,toyota,1992,LH113,Automatic,10400000
2025-11-25,toyota,1992,LH113,Automatic,8500000
2025-11-25,toyota,1992,LH113,Automatic,12200000
2025-11-25,toyota,2016,Vitz,Automatic,7500000
2025-11-25,toyota,2016,Prius,Automatic,8500000
2025-11-25,toyota,2016,Prius,Automatic,7250000
2025-11-25,toyota,2016,Prius,Automatic,15500000
2025-11-25,toyota,2016,Prius,Automatic,0
2025-11-25,toyota,2025,Yaris,Automatic,7250000
2025-11-25,toyota,2025,Yaris,Automatic,7450000
2025-11-25,toyota,2025,Yaris,Automatic,6300000
2025-11-25,toyota,2008,Hiace,Automatic,0
2025-11-25,toyota,2012,Premio,Automatic,0
2025-11-25,toyota,2012,Premio,Automatic,2950000
2025-11-25,toyota,2012,Premio,Automatic,14200000
2025-11-25,toyota,2012,Premio,Automatic,0
2025-11-25,toyota,2013,Aqua,Automatic,9550000
2025-11-25,toyota,2013,Aqua,Automatic,0
2025-11-25,toyota,2013,Aqua,Automatic,9900000
2025-11-25,toyota,2013,Aqua,Automatic,7490000
2025-11-25,toyota,2014,Premio,Automatic,10400000
2025-11-25,toyota,2014,Premio,Automatic,7650000
2025-11-25,toyota,2014,Premio,Automatic,13700000
2025-11-25,toyota,2014,Premio,Automatic,24000000
2025-11-25,toyota,2022,Raize,Automatic,0
2025-11-25,toyota,2022,Raize,Automatic,0
2025-11-25,toyota,2022,Raize,Automatic,10000000
2025-11-25,toyota,2022,Raize,Automatic,15500000
2025-11-25,toyota,2015,Vitz,Automatic,0
2025-11-25,toyota,2015,Vitz,Automatic,0
2025-11-25,toyota,2015,Vitz,Automatic,0
2025-11-25,toyota,2015,Vitz,Automatic,0
2025-11-25,toyota,1991,Hilux,Automatic,9300000
2025-11-25,toyota,1991,Hilux,Automatic,3850000
2025-11-25,toyota,1991,Hilux,Automatic,4500000
2025-11-25,toyota,1991,Hilux,Automatic,0
2025-11-25,toyota,2015,Land Cruiser Prado,Automatic,0
2025-11-25,toyota,2015,Land Cruiser Prado,Automatic,0
2025-11-25,toyota,2015,Land Cruiser Prado,Automatic,0
2025-11-25,toyota,2015,Land Cruiser Prado,Automatic,64500000
2025-11-25,toyota,2020,Hilux,Automatic,11500000
2025-11-25,toyota,2020,Hilux,Automatic,0
2025-11-25,toyota,2020,Hilux,Automatic,0
2025-11-25,toyota,2018,Vitz,Automatic,21000000
2025-11-25,toyota,2017,Allion,Automatic,0
2025-11-25,toyota,2017,Allion,Automatic,0
2025-11-25,toyota,2017,Allion,Automatic,0
2025-11-25,toyota,2017,Allion,Automatic,13000000
2025-11-25,toyota,2014,Voxy,Automatic,0
2025-11-24,toyota,2014,Voxy,Automatic,0
2025-11-25,toyota,2014,Voxy,Automatic,0
2025-11-25,toyota,2014,Voxy,Automatic,0
2025-11-24,toyota,2025,Raize,Automatic,0
2025-11-24,toyota,2025,Raize,Automatic,0
2025-11-24,toyota,2025,Raize,Automatic,7500000
2025-11-24,toyota,2025,Raize,Automatic,8425000
2025-11-24,toyota,2025,Raize,Automatic,0
2025-11-24,toyota,2025,Raize,Automatic,13250000
2025-11-24,toyota,2025,Raize,Automatic,14500000
2025-11-24,toyota,2025,Raize,Automatic,16000000
2025-11-24,toyota,2016,Aqua,Automatic,0
2025-11-24,toyota,2016,Aqua,Automatic,10700000
2025-11-24,toyota,2016,Aqua,Automatic,6600000
2025-11-24,toyota,2016,Aqua,Automatic,8800000
2025-11-24,toyota,2025,Hilux,Automatic,0
2025-11-24,toyota,2025,Hilux,Automatic,0
2025-11-24,toyota,2025,Hilux,Automatic,6995000
2025-11-24,toyota,2025,Hilux,Automatic,0
2025-11-24,toyota,2015,Vitz,Automatic,0
2025-11-24,toyota,2015,Vitz,Automatic,0
2025-11-24,toyota,2015,Vitz,Automatic,7100000
2025-11-24,toyota,2008,Passo,Automatic,0
2025-11-24,toyota,2023,Passo,Automatic,5390000
2025-11-24,toyota,2023,Passo,Automatic,13750000
2025-11-24,toyota,2023,Passo,Automatic,13200000
2025-11-24,toyota,2014,Harrier,Automatic,8850000
2025-11-24,toyota,2025,Raize,Automatic,0
2025-11-24,toyota,2025,Raize,Automatic,19900000
2025-11-24,toyota,2025,Raize,Automatic,11300000
2025-11-24,toyota,2013,Aqua,Automatic,14850000
2025-11-24,toyota,2013,Aqua,Automatic,8700000
2025-11-24,toyota,2013,Aqua,Automatic,6995000
2025-11-24,toyota,2013,Aqua,Automatic,0
2025-11-24,toyota,2015,Vitz,Automatic,7100000
2025-11-24,toyota,2025,Raize,Automatic,0
2025-11-24,toyota,2025,Raize,Automatic,0
2025-11-24,toyota,2025,Raize,Automatic,0
2025-11-24,toyota,2024,Raize,Automatic,13200000
2025-11-24,toyota,2018,CHR,Automatic,5390000
2025-11-24,toyota,2018,CHR,Automatic,8850000
2025-11-24,toyota,2018,CHR,Automatic,0
2025-11-24,toyota,2018,CHR,Automatic,13750000
2025-11-24,toyota,2018,Vitz,Automatic,19900000
2025-11-24,toyota,2018,Vitz,Automatic,14850000
2025-11-24,toyota,2018,Vitz,Automatic,11300000
2025-11-24,toyota,2013,Aqua,Automatic,8700000
2025-11-24,toyota,2006,Hiace,Automatic,6995000
2025-11-24,toyota,2006,Hiace,Automatic,0
2025-11-24,toyota,2006,Hiace,Automatic,0
2025-11-24,toyota,2006,Hiace,Automatic,7100000
2025-11-24,toyota,2008,Passo,Automatic,13200000
2025-11-24,toyota,2008,Passo,Automatic,0
2025-11-24,toyota,2008,Passo,Automatic,0
2025-11-24,toyota,2024,Raize,Automatic,5390000
2025-11-24,toyota,2014,Harrier,Automatic,8850000
2025-11-24,toyota,2014,Harrier,Automatic,19900000
2025-11-24,toyota,2014,Harrier,Automatic,0
2025-11-24,toyota,2014,Harrier,Automatic,13750000
2025-11-24,toyota,2024,Voxy,Automatic,14850000
2025-11-24,toyota,2024,Voxy,Automatic,32000000
2025-11-24,toyota,2024,Voxy,Automatic,8700000
